step,hour_of_day,source_flow_Ls,leak_active,leak_node,pressure_15,pressure_35,pressure_101,pressure_105,pressure_113,pressure_201
188,23.0,831.96875,0,,34.690598,41.038685,31.006498,35.390327,43.910416,42.91279
189,23.25,831.9336,0,,34.694035,40.998245,30.977268,35.36311,43.877144,42.860973
190,23.5,831.9012,0,,34.696957,40.95878,30.948603,35.33641,43.844547,42.810753
191,23.75,831.87146,0,,34.699364,40.92025,30.920473,35.310204,43.81259,42.76208
192,0.0,824.9708,0,,29.376535,41.2961,31.928465,36.27728,44.489437,43.22187
193,0.25,824.6862,0,,29.42048,41.315857,31.95226,36.30212,44.511654,43.232548
194,0.5,824.4015,0,,29.464298,41.336586,31.976841,36.327698,44.534744,43.24486
195,0.75,824.1168,0,,29.507984,41.35825,32.002174,36.35398,44.558666,43.258694
196,1.0,819.9003,0,,29.553019,42.0761,39.988735,41.106567,47.364277,43.72237
197,1.25,819.43506,0,,29.623161,42.140594,40.04141,41.167267,47.426453,43.77018
198,1.5,818.971,0,,29.69305,42.20496,40.093967,41.227806,47.4885,43.81864
199,1.75,818.50775,0,,29.762764,42.269447,40.146534,41.288338,47.550613,43.86823
200,2.0,814.6343,0,,30.61965,42.94039,41.53441,42.37775,48.535805,44.616524
201,2.25,814.01215,0,,30.71158,43.037304,41.608315,42.462406,48.626495,44.708466
202,2.5,813.39136,0,,30.80328,43.133842,41.681793,42.54668,48.716404,44.800297
203,2.75,812.77203,0,,30.894745,43.229992,41.75506,42.630714,48.80602,44.891983
204,3.0,812.16113,0,,31.000662,43.303574,41.858044,42.729954,48.89718,44.92081
205,3.25,484.74442,0,,29.831123,42.382416,40.697235,41.332104,47.642994,44.04555
206,3.5,485.04077,0,,29.812979,42.395943,40.69147,41.32333,47.64161,44.056942
207,3.75,485.3295,0,,29.795387,42.40865,40.68571,41.314648,47.64001,44.06771
208,4.0,483.80878,0,,30.436722,42.798824,42.26574,42.446022,48.454155,44.66856
209,4.25,483.5786,0,,30.452213,42.842033,42.28539,42.46773,48.482674,44.71629
210,4.5,483.33664,0,,30.4684,42.88481,42.30528,42.48978,48.511333,44.76353
211,4.75,483.08392,0,,30.48523,42.927135,42.325382,42.512115,48.540066,44.810265
212,5.0,487.01865,0,,36.18904,42.799267,41.881138,42.15525,48.28202,44.615143
213,5.25,487.23032,0,,36.17667,42.81895,41.87997,42.152527,48.285595,44.63847
214,5.5,487.4343,0,,36.164864,42.837776,41.87881,42.149895,48.28897,44.660942
215,5.75,487.63055,0,,36.15359,42.855686,41.87765,42.14734,48.29213,44.68251
216,6.0,483.50824,0,,36.283432,42.98465,42.13335,42.374752,48.47992,44.836372
217,6.25,483.1761,0,,36.305508,43.021675,42.154526,42.398613,48.50846,44.876846
218,6.5,482.84094,0,,36.32775,43.058155,42.175636,42.422432,48.536808,44.91673
219,6.75,482.50333,0,,36.350143,43.094097,42.19666,42.44619,48.564953,44.95601
220,7.0,482.62973,0,,39.81217,43.00859,41.706482,42.098724,48.33936,44.794884
221,7.25,482.35794,0,,39.830334,43.029415,41.721268,42.115604,48.358055,44.817543
222,7.5,482.08664,0,,39.8484,43.0501,41.735992,42.132427,48.376663,44.84
223,7.75,481.816,0,,39.866398,43.070652,41.75065,42.149174,48.395172,44.86224
224,8.0,481.00018,0,,39.942734,43.143986,42.030582,42.363865,48.54876,44.945545
225,8.25,480.65234,0,,39.96601,43.172943,42.05,42.385983,48.57374,44.976627
226,8.5,480.30502,0,,39.989216,43.201565,42.069298,42.407978,48.598522,45.00731
227,8.75,479.95822,0,,40.01236,43.229874,42.08848,42.42985,48.623123,45.03762
228,9.0,486.51395,0,,39.808224,43.161278,41.66181,42.06697,48.36855,44.930756
229,9.25,486.85605,0,,39.786808,43.153107,41.648365,42.050808,48.3543,44.925747
230,9.5,487.19574,0,,39.76545,43.143715,41.634647,42.03441,48.339497,44.91957
231,9.75,487.5324,0,,39.744205,43.133316,41.620747,42.017853,48.324284,44.912415
232,10.0,487.6545,0,,39.737495,43.129654,41.65674,42.03951,48.33511,44.94936
